gene_id,SRR24630895,SRR24630900,SRR24630901,SRR24630902,SRR24630906,SRR24630917,SRR24630918,SRR24630919,SRR24630920,SRR24630954,SRR24630955,SRR24630956,SRR25031741,SRR25031747,SRR25031748
CaT2T02g00868,2159,0,5,4,2243,1749,92,52,99,334,254,271,6,14,16
CaT2T02g00869,720,208,324,500,792,595,803,631,442,570,535,463,11,43,24
CaT2T12g00049,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0
CaT2T12g00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00043,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00040,478,16,21,26,515,382,79,39,88,207,217,169,20,28,22
CaT2T12g00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g00316,2176,824,1009,979,2497,1693,1142,1024,1215,1180,1075,1207,28,30,21
CaT2T09g00315,914,568,659,856,933,673,745,901,682,629,704,561,109,180,134
CaT2T09g00314,842,238,189,247,917,631,388,357,349,437,497,442,43,41,34
CaT2T09g00313,3,2,8,3,12,5,10,5,7,4,0,2,4,2,2
CaT2T06g02681,243,63,65,78,209,197,172,148,165,156,98,138,14,30,14
CaT2T03g00736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g01515,236,118,160,206,268,155,218,196,193,140,191,142,36,35,21
CaT2T09g00311,8,8,14,16,3,0,27,7,5,0,2,0,7,7,9
CaT2T09g00310,919,507,553,619,1011,809,629,742,800,690,647,670,191,209,149
CaT2T03g00735,1602,2247,3043,3208,1786,1207,1752,2401,2028,982,808,929,481,457,416
CaT2T10g02731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g00466,1398,174,253,232,1488,1091,497,529,509,448,515,423,30,28,30
CaT2T07g00465,16,0,0,5,8,13,4,2,0,5,7,7,0,2,2
CaT2T07g00464,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
CaT2T07g00463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g00462,58,42,35,35,63,50,50,50,58,39,40,40,12,9,0
CaT2T10g02737,1116,506,503,643,1092,847,1107,822,874,825,733,699,64,81,67
CaT2T07g00460,97,54,66,50,102,75,72,62,87,61,60,50,0,5,8
CaT2T10g02739,66,54,56,23,46,66,64,31,40,40,60,22,9,17,0
CaT2T10g02738,3,3,5,0,0,0,6,4,4,0,0,0,0,0,0
CaT2T07g00469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g00468,133,60,61,87,132,94,107,128,93,92,66,59,34,29,24
CaT2T05g01445,160,145,94,156,183,116,158,203,149,73,86,113,56,54,42
CaT2T04g00951,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0
CaT2T12g03820,81,167,187,140,72,64,126,187,162,41,29,39,7,21,4
CaT2T12g03821,31,0,11,0,69,18,9,13,15,10,22,18,0,0,0
CaT2T12g03822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g03823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g03824,55,36,34,57,80,34,86,49,82,60,66,41,9,0,16
CaT2T12g03825,34,107,158,115,25,38,54,136,80,15,14,13,2,2,5
CaT2T12g03826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T10g00573,813,408,512,541,924,671,898,796,760,653,624,635,70,93,92
CaT2T12g02197,1347,193,176,294,1325,1020,505,401,367,655,748,682,50,50,48
CaT2T12g02196,9,0,0,6,0,0,3,2,3,0,0,0,2,3,0
CaT2T12g02195,47,36,31,39,52,45,38,37,57,9,13,17,10,10,11
CaT2T12g02194,58,6,24,13,61,42,33,34,49,54,33,47,0,6,0
CaT2T12g02193,3,85,105,114,2,2,46,59,28,0,3,5,96,135,68
CaT2T12g02192,146,2,13,7,122,81,37,29,26,40,44,53,5,8,6
CaT2T12g02191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g02190,26,0,0,0,8,0,0,0,0,8,0,0,0,0,0
CaT2T12g02199,12,15,23,24,14,11,28,17,15,23,5,6,0,0,2
CaT2T12g02198,241,211,210,207,296,210,246,267,211,214,170,164,65,68,58
CaT2T06g02741,481,89,116,158,549,334,250,192,128,305,302,270,20,29,19
CaT2T06g02740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g02743,14,15,9,12,15,7,10,18,11,17,7,18,5,3,0
CaT2T06g02742,1167,456,507,417,1215,832,733,826,746,881,795,784,66,76,60
CaT2T06g02745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g02744,334,231,311,308,425,314,378,398,359,206,235,298,58,71,61
CaT2T06g02747,41,0,0,0,56,34,0,0,0,59,55,35,15,13,8
CaT2T06g02746,202,106,84,85,281,179,103,113,103,147,119,123,38,50,28
CaT2T06g02749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g02748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g03298,3,0,4,8,0,0,6,11,3,5,0,0,0,0,0
CaT2T11g01749,67,44,38,34,80,73,53,60,90,41,34,38,0,0,7
CaT2T11g01744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g03295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
