""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T02g00848"	89.8030488094976	4.44319612938802	0.590756255473536	7.52120030591376	5.42756201153232e-14	4.26148046647689e-12	"Yes"	"Yes"	"No"
"CaT2T01g01296"	894.420645202119	6.3978167323618	0.851118948676438	7.51694782769311	5.606977863603e-14	4.38287039550489e-12	"Yes"	"Yes"	"No"
"CaT2T11g00257"	317.182190024246	-1.77647061820708	0.236993661940282	-7.49585707762395	6.58665315073713e-14	5.12598302030494e-12	"Yes"	"No"	"Yes"
"CaT2T12g02430"	1712.96761483072	1.68388200527437	0.224776932786713	7.49134701856695	6.81703107601655e-14	5.28200311354861e-12	"Yes"	"Yes"	"No"
"CaT2T09g02140"	1783.64825334095	2.11071380463067	0.281807694947409	7.48990833988607	6.89217297385762e-14	5.31690514219078e-12	"Yes"	"Yes"	"No"
"CaT2T03g04984"	104.699830614748	2.14251505602097	0.286105027444884	7.48856136907174	6.96326271161605e-14	5.34839126362648e-12	"Yes"	"Yes"	"No"
"CaT2T09g01541"	373.746923123296	2.05942500177104	0.275159815938099	7.4844685978215	7.1837207509112e-14	5.49383596474447e-12	"Yes"	"Yes"	"No"
"CaT2T11g01622"	770.911501249254	2.59286759379542	0.346492965537974	7.48317527823305	7.25480178990221e-14	5.52428139743157e-12	"Yes"	"Yes"	"No"
"CaT2T11g03470"	170.35476430666	2.97346548926297	0.39744022056608	7.48154146308549	7.34558556058906e-14	5.55530885757059e-12	"Yes"	"Yes"	"No"
"CaT2T04g02410"	285.036395206359	3.23597678503261	0.432541366155153	7.48131170388883	7.35844148461179e-14	5.55530885757059e-12	"Yes"	"Yes"	"No"
"CaT2T05g03084"	2473.1119440181	2.080713591228	0.278258884991732	7.47761779930161	7.56819198963468e-14	5.6893480718675e-12	"Yes"	"Yes"	"No"
"CaT2T01g04109"	578.333636052406	2.47861368454359	0.331771630177432	7.4708427698234	7.9682819494028e-14	5.96473173381991e-12	"Yes"	"Yes"	"No"
"CaT2T12g01839"	212.524912334747	3.13475746458055	0.420157848108243	7.4609042261016	8.59306981856636e-14	6.40528149429507e-12	"Yes"	"Yes"	"No"
"CaT2T07g02674"	179.752851709981	2.83120289174893	0.379531955650314	7.45972203288592	8.67052027868211e-14	6.43585761526043e-12	"Yes"	"Yes"	"No"
"CaT2T04g00516"	169.293112754432	3.56651482170368	0.478453144900478	7.45426142500441	9.03726465661897e-14	6.68001328133183e-12	"Yes"	"Yes"	"No"
"CaT2T05g01955"	4660.70532574999	2.25267280426007	0.302880731826439	7.43749128799296	1.02615348678596e-13	7.55334479065029e-12	"Yes"	"Yes"	"No"
"CaT2T05g01923"	416.30924960211	2.40911701225056	0.323958881280074	7.43649009630883	1.03395714652997e-13	7.57920620356779e-12	"Yes"	"Yes"	"No"
"CaT2T09g00343"	1181.2277980429	1.86177256949086	0.250500485131853	7.43221143268805	1.0679690760085e-13	7.79617425486205e-12	"Yes"	"Yes"	"No"
"CaT2T09g00901"	552.377269231408	1.83642077341572	0.247149688129161	7.43039891054206	1.0827065474502e-13	7.87123204413795e-12	"Yes"	"Yes"	"No"
"CaT2T05g00401"	66.9791013713755	4.57986889470889	0.616939476676436	7.42353029405974	1.14039069616483e-13	8.22378799089142e-12	"Yes"	"Yes"	"No"
"CaT2T04g00451"	318.161012169619	-1.80434264439451	0.243057681236133	-7.42351624198033	1.14051175012363e-13	8.22378799089142e-12	"Yes"	"No"	"Yes"
"CaT2T11g00555"	287.898155243664	1.65861146063863	0.223657247337206	7.41586280071645	1.20835540475959e-13	8.67756365060281e-12	"Yes"	"Yes"	"No"
