""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T10g00698"	3162.31672306738	0.892295320666984	0.111537271421335	7.99997444169418	1.24445039623728e-15	2.76062858778484e-13	"Yes"	"No"	"No"
"CaT2T01g04109"	200.675747564715	2.29282018001498	0.287266792104796	7.98150097063272	1.44564442396237e-15	3.17208956375308e-13	"Yes"	"Yes"	"No"
"CaT2T04g01341"	1415.72285958363	-0.971717927026467	0.121879647584484	-7.97276613679812	1.55161624358618e-15	3.3680082913198e-13	"Yes"	"No"	"No"
"CaT2T01g03479"	1043.9023400424	1.22918535026493	0.154447574410799	7.95859277786746	1.74006896845903e-15	3.73689066662579e-13	"Yes"	"Yes"	"No"
"CaT2T03g02581"	8364.25020694431	0.879368975983975	0.110842866740624	7.93347377095297	2.13099584373696e-15	4.52825401026505e-13	"Yes"	"No"	"No"
"CaT2T08g02260"	7925.51374260001	0.702736283603164	0.0886771880825708	7.9246568232274	2.28777261300296e-15	4.81075684778028e-13	"Yes"	"No"	"No"
"CaT2T12g00209"	8465.61499410649	-0.755757017369608	0.0954394800297876	-7.91870426299189	2.39998420644848e-15	4.99468878098717e-13	"Yes"	"No"	"No"
"CaT2T10g00717"	7257.81998403102	-0.860511885803955	0.10876994760386	-7.91130183254237	2.54711141122178e-15	5.2467895977892e-13	"Yes"	"No"	"No"
"CaT2T02g00645"	1058.62699193093	-0.911724122808347	0.115625442470341	-7.88515142800181	3.14154325572244e-15	6.40589229325948e-13	"Yes"	"No"	"No"
"CaT2T02g03511"	1116.11329492942	0.778752452250773	0.0988905355462552	7.87489366853028	3.41032767432082e-15	6.88442847615143e-13	"Yes"	"No"	"No"
"CaT2T08g03122"	2435.59882515304	-0.798055048451115	0.101398945080139	-7.87044724992342	3.53375643581655e-15	7.06296447226026e-13	"Yes"	"No"	"No"
"CaT2T05g00634"	787.213031361244	1.15772543243506	0.147149418929784	7.86768606261027	3.61260744785396e-15	7.14977515194392e-13	"Yes"	"Yes"	"No"
"CaT2T01g00112"	574.083235375292	-1.47371640572872	0.187513863958458	-7.85923970963132	3.86472017914939e-15	7.57447633558144e-13	"Yes"	"No"	"Yes"
"CaT2T07g00361"	8309.45533601241	0.809766597569574	0.103747295966983	7.8051826799156	5.94154177930952e-15	1.15328753748963e-12	"Yes"	"No"	"No"
"CaT2T08g02955"	3481.82205372979	1.10265580263666	0.141365421453123	7.80003901450751	6.18880389628744e-15	1.18984175480338e-12	"Yes"	"Yes"	"No"
"CaT2T07g00559"	7096.52720230712	0.847820644092938	0.109019830143424	7.77675623762725	7.44077850311053e-15	1.41704712870087e-12	"Yes"	"No"	"No"
"CaT2T01g00604"	5628.18480757339	0.815594843450234	0.104934464446942	7.77242107965992	7.69999801385167e-15	1.4527089710806e-12	"Yes"	"No"	"No"
"CaT2T05g03267"	5113.25839389024	0.932309746154751	0.120596555583853	7.73081570730683	1.06859628360784e-14	1.99738455344365e-12	"Yes"	"No"	"No"
"CaT2T02g01802"	133.304620657362	2.12861862646903	0.275514942543049	7.72596435903447	1.11009688623751e-14	2.05591980206208e-12	"Yes"	"Yes"	"No"
"CaT2T01g00611"	1214.39522802221	0.904857135817028	0.11774475000963	7.68490430140641	1.53111401956614e-14	2.80987261027106e-12	"Yes"	"No"	"No"
"CaT2T11g02028"	1025.64103905794	0.838823245576763	0.109338408431892	7.67180771704092	1.69589052968714e-14	3.08422902007156e-12	"Yes"	"No"	"No"
"CaT2T03g00092"	3205.90619483202	0.962490743483075	0.126776229764532	7.5920442284075	3.14897487939961e-14	5.67574606164643e-12	"Yes"	"No"	"No"
"CaT2T03g00221"	1651.24992232889	0.972219220618381	0.128288473263481	7.57838327861009	3.49887476076393e-14	6.2506004243842e-12	"Yes"	"No"	"No"
"CaT2T02g02425"	245.385984755477	1.44652969506833	0.191567489268515	7.55101870673246	4.31866799113148e-14	7.64745181903256e-12	"Yes"	"Yes"	"No"
