""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T06g02909"	153.582192174081	0.17602208976969	0.243615794019808	0.722539728911739	0.4699627085834	0.597765261986806	"No"	"No"	"No"
"CaT2T04g00958"	68.8969676630712	0.20097528080927	0.278173020019111	0.722483010018235	0.469997567350831	0.597765261986806	"No"	"No"	"No"
"CaT2T01g04179"	60.0097677230834	-0.259714439698926	0.359536608636732	-0.722358818156777	0.470073899202033	0.597802707324361	"No"	"No"	"No"
"CaT2T09g02448"	80.1557405053216	-0.190856658494049	0.264396532313527	-0.721857646255841	0.470382003282878	0.598134865335469	"No"	"No"	"No"
"CaT2T04g02486"	54.8352040337234	0.217740046374655	0.301775136284235	0.721530769750264	0.470583016330817	0.598286847436549	"No"	"No"	"No"
"CaT2T12g01347"	101.171117563057	-0.233923521233024	0.324213531628163	-0.721510666313916	0.470595380507782	0.598286847436549	"No"	"No"	"No"
"CaT2T01g04517"	31.8170547980761	-0.327523037599594	0.45400673713126	-0.72140567708118	0.470659954743279	0.598309279391969	"No"	"No"	"No"
"CaT2T07g03280"	95.976698555225	0.21104705314471	0.29270456318425	0.721024130436468	0.470894668399166	0.59854796883559	"No"	"No"	"No"
"CaT2T03g01717"	520.263403282635	-0.140920130471697	0.195509754336761	-0.720783118723404	0.471042963344198	0.598676775962036	"No"	"No"	"No"
"CaT2T06g02690"	74.3809104595722	0.195812944919354	0.271742008184234	0.720584006233579	0.471165497055749	0.598772819175015	"No"	"No"	"No"
"CaT2T01g05300"	38.938366455469	-0.273286998760098	0.379505869588986	-0.720112706177837	0.47145560489634	0.599081780805685	"No"	"No"	"No"
"CaT2T04g02561"	257.705387326239	0.15319775298113	0.212779732112079	0.719982826655853	0.471535569295157	0.599123676793299	"No"	"No"	"No"
"CaT2T11g02434"	22.3705860295103	0.324144353428151	0.450897884094426	0.718886392822967	0.47221092111283	0.599862199408876	"No"	"No"	"No"
"CaT2T04g00848"	28.4999228640481	-0.287803800933278	0.400312085621297	-0.718948568556449	0.472172609530472	0.599862199408876	"No"	"No"	"No"
"CaT2T04g02966"	5.3266093396461	0.577243544686728	0.803348692613683	0.718546690863061	0.472420269660674	0.60000856922733	"No"	"No"	"No"
"CaT2T10g02586"	22.6001755678482	-0.374866021156236	0.521696253322395	-0.71855225865419	0.472416837979144	0.60000856922733	"No"	"No"	"No"
"CaT2T03g03237"	25.9089425886032	0.28867004819627	0.402080274023296	0.717941333723685	0.472793460531297	0.600422734168095	"No"	"No"	"No"
"CaT2T11g00138"	29.6091193921046	0.2904806787245	0.404944322555629	0.717334859496876	0.473167502741891	0.600837897655016	"No"	"No"	"No"
"CaT2T06g00750"	125.380028216927	-0.238973404695407	0.333493866440536	-0.7165751119984	0.473636305700421	0.601363012297123	"No"	"No"	"No"
"CaT2T05g01882"	47.1556441976962	-0.260503352090252	0.363589800802324	-0.716475961414228	0.473697505503481	0.601363012297123	"No"	"No"	"No"
"CaT2T01g03242"	36.3469344247768	-0.259037085818569	0.361563774380954	-0.716435395835979	0.473722545493765	0.601363012297123	"No"	"No"	"No"
"CaT2T03g00319"	44.8025128169661	-0.259461164166462	0.362415050826938	-0.715922706781736	0.474039076737968	0.601704917297127	"No"	"No"	"No"
"CaT2T10g00066"	36.6507900846587	0.243879551104128	0.340828407432399	0.715549366736691	0.474269647834712	0.60190165646983	"No"	"No"	"No"
"CaT2T03g04992"	46.7892704810037	-0.25282332714395	0.3533803977633	-0.715442420530907	0.474335708098862	0.60190165646983	"No"	"No"	"No"
"CaT2T03g04320"	128.766061166416	-0.217576707614658	0.304098454911289	-0.715481134812505	0.474311793850784	0.60190165646983	"No"	"No"	"No"
"CaT2T01g00255"	119.999762243211	0.179694646059401	0.251320855775327	0.715000931797091	0.474608467508188	0.60218783362479	"No"	"No"	"No"
"CaT2T12g02316"	20.8204285982868	-0.330975512127994	0.462998403610185	-0.714852382961247	0.474700262923044	0.602244367798376	"No"	"No"	"No"
"CaT2T07g01840"	78.5813857711101	0.194974605126841	0.272967148417402	0.714278645827003	0.475054894004022	0.602629000328256	"No"	"No"	"No"
"CaT2T05g00740"	84.0967915173637	-0.200443364563506	0.280650866549082	-0.714208963714179	0.475097974923468	0.602629000328256	"No"	"No"	"No"
"CaT2T11g00709"	86.7945662042315	0.189855287458692	0.265925083896742	0.7139427566465	0.475262577005093	0.602777814786901	"No"	"No"	"No"
"CaT2T09g00346"	43.4938574660178	-0.235777340963108	0.330524114198926	-0.713343840386802	0.475633015360763	0.603187636808352	"No"	"No"	"No"
"CaT2T05g01472"	18.8178931692742	-0.344330735216885	0.4828379922602	-0.713139273910588	0.475759578951672	0.603288131296486	"No"	"No"	"No"
"CaT2T01g02016"	202.474845363464	0.162718030639553	0.228209841807961	0.713019339352071	0.47583379005998	0.603322226700615	"No"	"No"	"No"
"CaT2T01g00301"	54.3060368308344	0.262245225839591	0.367916112497536	0.712785379415389	0.475978574157355	0.603445787781635	"No"	"No"	"No"
