GeneID	log2FoldChange	color	KO_number
CaT2T08g00709	1.281	#e29182	K09480
CaT2T07g03157	1.606	#e29182	K06682, K07976
CaT2T01g04449	1.636	#e29182	K20359
CaT2T01g04448	1.658	#e29182	K20359
CaT2T07g02680	1.328	#e29182	K10717, K20660
CaT2T07g02683	1.206	#e29182	K10717, K20660
CaT2T07g02685	1.509	#e29182	K10717, K20660
CaT2T07g02688	1.984	#e29182	K10717, K20660
CaT2T06g02720	3.047	#d45d48	K08900
CaT2T11g00936	1.283	#e29182	K18873
CaT2T10g00692	1.619	#e29182	K06689
CaT2T02g00485	1.110	#e29182	K01537
CaT2T09g00903	2.032	#db7765	K10666
CaT2T05g00650	4.615	#ca462e	K00430
CaT2T01g02887	1.514	#e29182	K22376
CaT2T12g00458	1.113	#e29182	K09419
CaT2T05g01943	1.077	#e29182	K13354
CaT2T02g02384	4.081	#ca462e	K04733
CaT2T02g02380	6.170	#903221	K04733
CaT2T02g02382	1.251	#e29182	K04733
CaT2T03g00490	1.436	#e29182	K07766
CaT2T08g00256	2.137	#db7765	K08472
CaT2T09g03067	4.769	#ca462e	K10256, K21704, K21710, K21736
CaT2T06g02961	2.609	#db7765	K04733
CaT2T01g00272	2.147	#db7765	K01762, K20772
CaT2T01g00273	1.571	#e29182	K01762, K20772
CaT2T03g04211	1.123	#e29182	K07025
CaT2T12g00790	1.005	#e29182	K08145
CaT2T06g01948	1.121	#e29182	K13423, K13424
CaT2T07g03216	1.745	#e29182	K06911
CaT2T05g00401	4.580	#ca462e	K20562
CaT2T02g03511	2.130	#db7765	K10268, K10273
CaT2T02g00371	3.806	#d45d48	K00021
CaT2T09g00459	1.060	#e29182	K10781
CaT2T02g01131	1.883	#e29182	K09832
CaT2T03g00495	1.465	#e29182	K12236
CaT2T07g02010	1.584	#e29182	K08486
CaT2T03g01951	1.368	#e29182	K00512, K07408, K07409, K07418
CaT2T05g01255	1.390	#e29182	K01537
CaT2T11g02458	1.246	#e29182	K19476
CaT2T02g01813	2.145	#db7765	K14492
CaT2T10g00211	1.544	#e29182	K04125
CaT2T01g01572	1.045	#e29182	K13335
CaT2T01g01578	2.782	#db7765	K15277
CaT2T06g00391	2.177	#db7765	K17506
CaT2T04g01846	2.777	#db7765	K13448
CaT2T01g02456	3.698	#d45d48	K14432
CaT2T02g03692	1.062	#e29182	K00318
CaT2T11g00511	2.882	#db7765	K12581
CaT2T02g00642	1.505	#e29182	K14011
CaT2T03g02032	1.122	#e29182	K08900
CaT2T03g02030	1.700	#e29182	K11805
CaT2T12g02601	1.378	#e29182	K03327
CaT2T01g05322	2.468	#db7765	K02370
CaT2T04g02956	1.611	#e29182	K09419
CaT2T08g01715	2.753	#db7765	K08900
CaT2T07g00475	1.056	#e29182	K20032
CaT2T06g00403	2.025	#db7765	K19517
CaT2T05g00309	1.471	#e29182	K19613
CaT2T02g02140	1.402	#e29182	K09286
CaT2T02g04121	1.477	#e29182	K16280
CaT2T07g01931	2.291	#db7765	K19861
CaT2T05g01777	3.029	#d45d48	K15104
CaT2T05g00444	1.155	#e29182	K05658
CaT2T03g00596	3.162	#d45d48	K00915, K11251
CaT2T03g00598	3.373	#d45d48	K13447
CaT2T10g00294	3.746	#d45d48	K19038
CaT2T01g03346	1.706	#e29182	K00820
CaT2T12g02594	2.672	#db7765	K10664
CaT2T04g03069	1.357	#e29182	K12386
CaT2T03g03126	1.138	#e29182	K06890
