GeneID	log2FoldChange	color	KO_number
CaT2T05g00340	1.230	#e29182	K02991, K14498
CaT2T05g00345	2.049	#db7765	K04730, K04733, K13420
CaT2T04g01251	1.946	#e29182	K14572
CaT2T04g01252	1.248	#e29182	K14572
CaT2T06g00168	1.638	#e29182	K08511
CaT2T10g00194	1.033	#e29182	K03327
CaT2T03g00812	4.174	#ca462e	K11975
CaT2T06g03049	1.391	#e29182	K14079
CaT2T12g01370	1.860	#e29182	K00558
CaT2T12g01379	1.072	#e29182	K09841
CaT2T09g02573	2.097	#db7765	K02111
CaT2T09g02572	1.661	#e29182	K02110, K02155, K02919
CaT2T06g00762	4.759	#ca462e	K13448
CaT2T05g02017	1.397	#e29182	K03145
CaT2T06g02059	1.942	#e29182	K07874
CaT2T06g02055	1.188	#e29182	K16609
CaT2T06g02051	1.579	#e29182	K13783
CaT2T03g04115	3.231	#d45d48	K15283
CaT2T03g04119	2.067	#db7765	K08678
CaT2T12g02719	4.594	#ca462e	K09422
CaT2T11g01499	1.122	#e29182	K08818
CaT2T09g03211	1.089	#e29182	K17917
CaT2T11g02149	1.222	#e29182	K18586
CaT2T01g02967	2.011	#db7765	K01557
CaT2T08g00775	1.205	#e29182	K14763
CaT2T10g00782	1.397	#e29182	K00753
CaT2T02g03890	1.698	#e29182	K18443
CaT2T08g01421	3.192	#d45d48	K09754
CaT2T10g02556	2.179	#db7765	K14488
CaT2T10g02559	3.213	#d45d48	K01193
CaT2T01g00954	1.662	#e29182	K09419
CaT2T02g02317	2.416	#db7765	K08237
CaT2T06g00353	3.651	#d45d48	K07198, K12761
CaT2T10g00543	3.544	#d45d48	K01696
CaT2T06g01400	2.596	#db7765	K08054
CaT2T02g04044	3.731	#d45d48	K00122
CaT2T02g04045	1.531	#e29182	K05954
CaT2T07g00126	2.213	#db7765	K02690
CaT2T04g00513	2.529	#db7765	K10635
CaT2T11g01510	1.971	#e29182	K11584
CaT2T08g01769	3.104	#d45d48	K03006
CaT2T01g00724	5.106	#ad3c28	K14517
CaT2T07g00069	1.353	#e29182	K13407, K20768, K20769
CaT2T05g00581	2.938	#db7765	K11644
CaT2T09g00706	3.205	#d45d48	K09338
CaT2T07g03163	1.952	#e29182	K20168
CaT2T01g00284	1.539	#e29182	K04371, K04464, K20600
CaT2T10g01084	4.865	#ca462e	K01988
CaT2T10g01085	1.429	#e29182	K13946
CaT2T02g01041	1.502	#e29182	K02641
CaT2T02g01040	1.351	#e29182	K04506, K08742
