GeneID	log2FoldChange	color	KO_number
CaT2T08g02102	1.335	#e29182	K00521
CaT2T05g01148	1.358	#e29182	K14489
CaT2T08g02920	1.294	#e29182	K11876
CaT2T08g01470	1.308	#e29182	K02358
CaT2T03g01662	1.449	#e29182	K11097
CaT2T02g03011	2.004	#db7765	K09250
CaT2T12g02503	1.249	#e29182	K10750
CaT2T12g01263	1.126	#e29182	K03239
CaT2T03g04773	4.176	#ca462e	K21354
CaT2T05g02920	3.152	#d45d48	K15502
CaT2T05g02926	1.719	#e29182	K07904
CaT2T04g00225	1.100	#e29182	K04708
CaT2T11g02011	2.378	#db7765	K15032
CaT2T09g01336	1.001	#e29182	K05610
CaT2T07g03138	1.544	#e29182	K20417
CaT2T02g01098	1.017	#e29182	K02987
CaT2T02g01093	1.196	#e29182	K02912
CaT2T01g00786	1.853	#e29182	K19530
CaT2T06g01927	1.461	#e29182	K21568
CaT2T03g02508	2.017	#db7765	K05282
CaT2T02g00559	1.277	#e29182	K20802
CaT2T10g00127	1.413	#e29182	K02938
CaT2T07g03271	2.423	#db7765	K04730, K10859
CaT2T05g03422	2.523	#db7765	K08057
CaT2T06g01550	1.996	#e29182	K02922
CaT2T03g01298	1.521	#e29182	K01728
CaT2T08g01350	1.804	#e29182	K02183, K10840, K16465
CaT2T03g01017	2.991	#db7765	K19041
CaT2T07g00889	1.290	#e29182	K02985
CaT2T07g03041	2.275	#db7765	K16465
CaT2T01g04745	1.283	#e29182	K15032
CaT2T01g04740	1.437	#e29182	K14561
CaT2T03g02392	2.521	#db7765	K13800
CaT2T02g02876	1.414	#e29182	K02867
CaT2T12g00531	1.345	#e29182	K00660
CaT2T06g01234	1.715	#e29182	K11290
CaT2T06g01237	1.056	#e29182	K02915
CaT2T11g01818	1.855	#e29182	K04733
CaT2T11g03321	1.185	#e29182	K09873
CaT2T12g00089	1.102	#e29182	K17710
CaT2T02g02797	1.579	#e29182	K11131
CaT2T03g04753	1.553	#e29182	K04077
CaT2T08g00429	1.266	#e29182	K15306
CaT2T10g00913	1.486	#e29182	K20241
CaT2T10g00912	1.023	#e29182	K15430
CaT2T07g02500	1.545	#e29182	K02868
CaT2T07g00210	1.029	#e29182	K03255
CaT2T09g03120	1.115	#e29182	K12873
CaT2T01g04587	1.047	#e29182	K03027
CaT2T02g02435	1.006	#e29182	K01051
CaT2T01g02866	1.083	#e29182	K07953
CaT2T10g00640	1.215	#e29182	K04733
CaT2T01g02245	1.417	#e29182	K14399
CaT2T10g02435	1.668	#e29182	K02717
CaT2T04g02746	2.102	#db7765	K00384
CaT2T05g00542	1.058	#e29182	K01187
CaT2T03g04179	2.292	#db7765	K13258
CaT2T05g01791	1.420	#e29182	K15334
CaT2T11g02125	1.075	#e29182	K17868
CaT2T09g01023	2.264	#db7765	K17470
CaT2T08g02400	2.228	#db7765	K00430
CaT2T08g00716	1.712	#e29182	K15095
CaT2T07g02393	1.628	#e29182	K00793
CaT2T07g02390	2.782	#db7765	K00793
CaT2T04g03008	1.094	#e29182	K17769
CaT2T03g03102	1.849	#e29182	K01082
CaT2T05g00594	1.701	#e29182	K05349
CaT2T08g00132	1.985	#e29182	K08360
CaT2T02g01024	1.003	#e29182	K14793
CaT2T01g03429	1.912	#e29182	K11253
CaT2T03g00365	1.008	#e29182	K18729
CaT2T06g01991	1.155	#e29182	K17278
CaT2T01g01453	1.165	#e29182	K01669
CaT2T01g01454	1.385	#e29182	K02991
CaT2T03g04637	1.066	#e29182	K03259
CaT2T10g00175	1.331	#e29182	K10635, K19041
CaT2T02g02695	1.028	#e29182	K06997
CaT2T12g02478	1.338	#e29182	K02923
CaT2T07g00310	1.531	#e29182	K13065
CaT2T04g02592	1.170	#e29182	K19032
CaT2T10g02946	1.067	#e29182	K20891
CaT2T10g02945	1.802	#e29182	K00088
CaT2T02g04224	1.151	#e29182	K00891
CaT2T03g01151	1.193	#e29182	K02929
CaT2T11g00975	1.401	#e29182	K15397
CaT2T01g00549	1.483	#e29182	K01933
CaT2T01g05711	2.150	#db7765	K09872
CaT2T01g02946	1.384	#e29182	K02877
CaT2T08g02978	1.292	#e29182	K12885, K13195
CaT2T12g00395	1.207	#e29182	K02977
CaT2T01g02051	1.292	#e29182	K14823
CaT2T10g01883	1.534	#e29182	K02973
CaT2T10g01888	1.152	#e29182	K02930
CaT2T03g02348	1.194	#e29182	K11153, K19329
CaT2T02g02336	1.865	#e29182	K08332
CaT2T12g02533	1.402	#e29182	K12373
CaT2T01g00020	2.021	#db7765	K17781
CaT2T06g03631	3.475	#d45d48	K02894
CaT2T06g03634	1.434	#e29182	K02875
CaT2T09g02636	1.324	#e29182	K11294
CaT2T05g02959	1.645	#e29182	K08237
CaT2T05g02953	1.546	#e29182	K08237
CaT2T11g02043	1.206	#e29182	K10744
CaT2T06g03175	1.112	#e29182	K02920
CaT2T01g03930	2.385	#db7765	K07305
CaT2T09g02188	1.593	#e29182	K06700
CaT2T05g00766	1.147	#e29182	K10523
CaT2T10g02720	1.524	#e29182	K11098
CaT2T10g02724	1.038	#e29182	K15730
CaT2T01g00998	1.027	#e29182	K12189
CaT2T12g02180	1.914	#e29182	K11099
CaT2T06g03404	1.054	#e29182	K11294, K14411
CaT2T06g00275	1.225	#e29182	K02995
CaT2T01g04630	1.535	#e29182	K17479
CaT2T03g04556	1.773	#e29182	K16904
CaT2T10g02433	1.240	#e29182	K09422
CaT2T08g00074	1.153	#e29182	K00254
CaT2T03g00164	1.421	#e29182	K04077
CaT2T02g01149	1.600	#e29182	K03015, K16253
CaT2T12g01530	1.100	#e29182	K14803, K17499
CaT2T04g02518	1.228	#e29182	K13356
CaT2T01g05025	1.125	#e29182	K16040
CaT2T06g00597	1.481	#e29182	K13648
CaT2T05g00056	1.173	#e29182	K13448
CaT2T10g01110	3.259	#d45d48	K02728
CaT2T12g00566	1.007	#e29182	K17800
CaT2T02g04061	1.105	#e29182	K08232
CaT2T04g00254	1.213	#e29182	K03671
CaT2T05g00256	1.065	#e29182	K08332
CaT2T03g03279	2.253	#db7765	K02894
CaT2T09g01470	1.003	#e29182	K01724
CaT2T03g01941	1.071	#e29182	K03939
CaT2T03g04240	1.634	#e29182	K01738
CaT2T03g02577	1.277	#e29182	K02133, K13800
CaT2T07g03221	1.545	#e29182	K17790
CaT2T06g03486	2.033	#db7765	K02866
CaT2T06g03481	1.385	#e29182	K02995
CaT2T07g00228	1.026	#e29182	K16297
CaT2T05g01409	1.320	#e29182	K02957
CaT2T09g00402	1.456	#e29182	K14484
CaT2T09g03173	1.451	#e29182	K00621
CaT2T03g00190	1.176	#e29182	K17776
CaT2T01g02836	2.498	#db7765	K02982
CaT2T06g00922	1.336	#e29182	K01807, K02984
CaT2T06g00920	1.233	#e29182	K03945
CaT2T10g02199	1.121	#e29182	K02973
CaT2T06g03388	1.595	#e29182	K11254
CaT2T06g03389	2.265	#db7765	K11254
CaT2T06g03520	1.823	#e29182	K02987
CaT2T07g02984	1.017	#e29182	K10666
CaT2T01g00275	1.057	#e29182	K08232
CaT2T04g02716	1.084	#e29182	K10802, K11296
CaT2T11g00351	1.349	#e29182	K12873
CaT2T10g00248	3.171	#d45d48	K19365
CaT2T10g00247	2.786	#db7765	K19365
CaT2T01g00641	1.090	#e29182	K09531
CaT2T02g00923	1.536	#e29182	K10745
CaT2T06g01822	1.763	#e29182	K02260
CaT2T12g02340	2.351	#db7765	K06940
CaT2T11g01393	1.575	#e29182	K03327
CaT2T06g00695	1.594	#e29182	K02943
CaT2T08g03099	1.703	#e29182	K10352
CaT2T11g00250	1.071	#e29182	K15505
CaT2T05g00768	2.323	#db7765	K10523
CaT2T01g04125	1.055	#e29182	K02149
CaT2T02g03970	1.488	#e29182	K18164
CaT2T05g00413	1.046	#e29182	K17943
CaT2T01g03476	2.470	#db7765	K11253
CaT2T06g03235	1.168	#e29182	K02973
CaT2T06g03230	1.568	#e29182	K14638
CaT2T04g00111	1.287	#e29182	K02638
CaT2T05g03194	1.765	#e29182	K02923
CaT2T10g02762	1.349	#e29182	K18173
CaT2T08g03112	1.448	#e29182	K13157
CaT2T01g00304	1.013	#e29182	K02202
CaT2T01g02219	1.287	#e29182	K02908
CaT2T08g01604	1.099	#e29182	K00215
CaT2T03g02231	1.403	#e29182	K08955
CaT2T03g01766	1.564	#e29182	K17780
CaT2T11g03281	1.856	#e29182	K14638
CaT2T06g00798	2.026	#db7765	K13065
CaT2T06g00792	1.191	#e29182	K03635
CaT2T01g05710	1.708	#e29182	K14773
CaT2T11g00686	1.554	#e29182	K13176
